day,anomaly%,rollback_precision,tau,drift_event
1,2.82,0.858,0.559,0
2,2.86,0.854,0.557,0
3,2.61,0.879,0.552,0
4,2.61,0.879,0.563,0
5,2.80,0.860,0.550,1
6,2.74,0.866,0.550,0
7,2.70,0.870,0.552,0
8,2.55,0.885,0.556,0
9,2.81,0.859,0.554,0
10,2.69,0.871,0.550,1
11,2.66,0.874,0.551,0
12,2.75,0.865,0.552,0
13,2.66,0.874,0.551,0
14,2.55,0.885,0.558,0
15,2.62,0.878,0.550,1
16,2.80,0.860,0.550,0
17,2.65,0.875,0.555,0
18,2.83,0.857,0.550,0
19,2.79,0.861,0.550,0
20,2.82,0.858,0.550,1
21,2.82,0.858,0.551,0
22,2.60,0.880,0.559,0
23,2.68,0.872,0.559,0
24,2.58,0.882,0.550,0
25,2.87,0.853,0.550,1
26,2.69,0.871,0.554,0
27,2.57,0.883,0.550,0
28,2.65,0.875,0.555,0
29,2.44,0.896,0.562,0
30,2.75,0.865,0.554,1
